*** s2 ------------------------------------------------------------------------
OFPST_FLOW reply (OF1.4) (xid=0x2):
 cookie=0x0, duration=232.909s, table=0, n_packets=38, n_bytes=10884, priority=10,ip,in_port=1,nw_dst=149.171.126.16 actions=goto_table:1
 cookie=0x0, duration=231.839s, table=0, n_packets=0, n_bytes=0, priority=10,ip,in_port=1,nw_dst=149.171.126.10 actions=goto_table:1
 cookie=0x0, duration=231.839s, table=0, n_packets=12, n_bytes=704, priority=10,ip,in_port=2,nw_dst=175.45.176.2 actions=goto_table:1
 cookie=0x0, duration=230.167s, table=0, n_packets=6, n_bytes=1072, priority=10,ip,in_port=1,nw_dst=149.171.126.15 actions=goto_table:1
 cookie=0x0, duration=229.936s, table=0, n_packets=46, n_bytes=3926, priority=10,ip,in_port=1,nw_dst=149.171.126.8 actions=goto_table:1
 cookie=0x0, duration=229.169s, table=0, n_packets=28, n_bytes=2340, priority=10,ip,in_port=2,nw_dst=59.166.0.5 actions=goto_table:1
 cookie=0x0, duration=229.105s, table=0, n_packets=0, n_bytes=0, priority=10,ip,in_port=1,nw_dst=149.171.126.14 actions=goto_table:1
 cookie=0x0, duration=228.979s, table=0, n_packets=42, n_bytes=2976, priority=10,ip,in_port=1,nw_dst=149.171.126.4 actions=goto_table:1
 cookie=0x0, duration=228.836s, table=0, n_packets=14, n_bytes=1098, priority=10,ip,in_port=2,nw_dst=59.166.0.0 actions=goto_table:1
 cookie=0x0, duration=228.756s, table=0, n_packets=18, n_bytes=1468, priority=10,ip,in_port=2,nw_dst=59.166.0.3 actions=goto_table:1
 cookie=0x0, duration=228.681s, table=0, n_packets=18, n_bytes=1444, priority=10,ip,in_port=2,nw_dst=59.166.0.4 actions=goto_table:1
 cookie=0x0, duration=228.532s, table=0, n_packets=44, n_bytes=3808, priority=10,ip,in_port=1,nw_dst=149.171.126.6 actions=goto_table:1
 cookie=0x0, duration=228.173s, table=0, n_packets=48, n_bytes=4038, priority=10,ip,in_port=1,nw_dst=149.171.126.9 actions=goto_table:1
 cookie=0x0, duration=227.765s, table=0, n_packets=42, n_bytes=3580, priority=10,ip,in_port=1,nw_dst=149.171.126.2 actions=goto_table:1
 cookie=0x0, duration=227.634s, table=0, n_packets=54, n_bytes=4506, priority=10,ip,in_port=2,nw_dst=59.166.0.1 actions=goto_table:1
 cookie=0x0, duration=227.488s, table=0, n_packets=22, n_bytes=1762, priority=10,ip,in_port=2,nw_dst=59.166.0.7 actions=goto_table:1
 cookie=0x0, duration=227.487s, table=0, n_packets=52, n_bytes=3660, priority=10,ip,in_port=1,nw_dst=149.171.126.0 actions=goto_table:1
 cookie=0x0, duration=227.417s, table=0, n_packets=46, n_bytes=3874, priority=10,ip,in_port=2,nw_dst=59.166.0.2 actions=goto_table:1
 cookie=0x0, duration=227.382s, table=0, n_packets=47, n_bytes=3391, priority=10,ip,in_port=1,nw_dst=149.171.126.5 actions=goto_table:1
 cookie=0x0, duration=227.347s, table=0, n_packets=40, n_bytes=3470, priority=10,ip,in_port=2,nw_dst=175.45.176.0 actions=goto_table:1
 cookie=0x0, duration=227.320s, table=0, n_packets=20, n_bytes=1922, priority=10,ip,in_port=1,nw_dst=149.171.126.18 actions=goto_table:1
 cookie=0x0, duration=227.275s, table=0, n_packets=46, n_bytes=3816, priority=10,ip,in_port=1,nw_dst=149.171.126.3 actions=goto_table:1
 cookie=0x0, duration=227.275s, table=0, n_packets=20, n_bytes=1634, priority=10,ip,in_port=2,nw_dst=59.166.0.8 actions=goto_table:1
 cookie=0x0, duration=227.215s, table=0, n_packets=30, n_bytes=2408, priority=10,ip,in_port=2,nw_dst=59.166.0.6 actions=goto_table:1
 cookie=0x0, duration=227.215s, table=0, n_packets=40, n_bytes=3534, priority=10,ip,in_port=1,nw_dst=149.171.126.7 actions=goto_table:1
 cookie=0x0, duration=227.134s, table=0, n_packets=46, n_bytes=3926, priority=10,ip,in_port=1,nw_dst=149.171.126.1 actions=goto_table:1
 cookie=0x0, duration=227.134s, table=0, n_packets=14, n_bytes=1162, priority=10,ip,in_port=2,nw_dst=59.166.0.9 actions=goto_table:1
 cookie=0x0, duration=227.040s, table=0, n_packets=0, n_bytes=0, priority=10,ip,in_port=1,nw_dst=149.171.126.12 actions=goto_table:1
 cookie=0x0, duration=256.226s, table=0, n_packets=220, n_bytes=47807, priority=0 actions=goto_table:1
 cookie=0x0, duration=236.773s, table=1, n_packets=4, n_bytes=228, priority=10,tcp,in_port=2,tp_dst=13284 actions=goto_table:10
 cookie=0x0, duration=236.591s, table=1, n_packets=0, n_bytes=0, priority=10,udp,in_port=2,tp_dst=3593 actions=goto_table:10
 cookie=0x0, duration=236.589s, table=1, n_packets=0, n_bytes=0, priority=10,udp,in_port=2,tp_dst=49664 actions=goto_table:10
 cookie=0x0, duration=236.518s, table=1, n_packets=0, n_bytes=0, priority=10,tcp,in_port=2,tp_dst=6645 actions=goto_table:10
 cookie=0x0, duration=236.516s, table=1, n_packets=0, n_bytes=0, priority=10,tcp,in_port=2,tp_dst=42587 actions=goto_table:10
 cookie=0x0, duration=236.428s, table=1, n_packets=0, n_bytes=0, priority=10,udp,in_port=2,tp_dst=1464 actions=goto_table:10
