ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
175.45.176.0,13284,149.171.126.16,80,6,908,124,9,2,1,1,Attack,93.35%
59.166.0.5,3593,149.171.126.5,53,17,414,192,5,2,2,3,Normal,17.12%
59.166.0.3,49664,149.171.126.0,53,17,174,206,2,2,1,1,Normal,21.32%
59.166.0.3,42587,149.171.126.8,25,6,272,140,4,2,1,1,Normal,34.13%
59.166.0.5,6645,149.171.126.2,80,6,272,140,4,2,1,1,Normal,34.13%
59.166.0.6,1464,149.171.126.7,53,17,261,206,3,2,1,2,Normal,4.87%
59.166.0.6,48584,149.171.126.3,80,6,272,140,4,2,1,1,Normal,34.13%
59.166.0.0,32119,149.171.126.9,111,17,624,368,4,4,1,4,Normal,0.96%
59.166.0.0,33661,149.171.126.9,1024,17,584,360,4,4,1,4,Normal,0.95%
59.166.0.0,2109,149.171.126.9,52908,6,474,210,7,3,1,4,Attack,66.58%
59.166.0.0,1390,149.171.126.6,53,17,240,192,3,2,1,1,Normal,23.50%
59.166.0.0,3231,149.171.126.5,80,6,272,140,4,2,1,3,Normal,2.16%
59.166.0.6,2142,149.171.126.4,53,17,160,192,2,2,1,1,Normal,21.31%
59.166.0.6,50089,149.171.126.9,80,6,272,140,4,2,1,4,Normal,1.43%
59.166.0.4,49346,149.171.126.5,53,17,160,192,2,2,2,3,Normal,1.33%
59.166.0.4,43054,149.171.126.7,80,6,272,140,4,2,1,2,Normal,6.83%
59.166.0.5,40726,149.171.126.6,53,17,87,0,1,0,4,8,Attack,90.35%
59.166.0.1,21270,149.171.126.9,111,17,312,0,2,0,1,10,Attack,84.52%
59.166.0.7,18282,149.171.126.9,5190,6,202,70,3,1,1,10,Normal,0.04%
59.166.0.3,18990,149.171.126.2,5190,6,132,0,2,0,2,11,Normal,0.00%
59.166.0.0,22848,149.171.126.1,53,17,87,0,1,0,6,13,Attack,88.78%
59.166.0.8,25100,149.171.126.9,53,17,87,0,1,0,4,10,Attack,88.62%
175.45.176.0,13284,149.171.126.16,80,6,228,114,4,2,2,3,Normal,0.91%
59.166.0.2,58325,149.171.126.0,80,6,272,140,4,2,6,14,Normal,0.01%
59.166.0.5,28565,149.171.126.9,53,17,160,192,2,2,4,10,Normal,0.78%
59.166.0.5,51626,149.171.126.3,80,6,272,140,4,2,3,11,Normal,0.03%
59.166.0.1,29704,149.171.126.1,53,17,160,192,2,2,6,13,Normal,25.30%
59.166.0.1,50815,149.171.126.0,80,6,272,140,4,2,6,14,Normal,0.01%
175.45.176.2,23357,149.171.126.16,80,6,1104,25900,12,24,2,3,Attack,96.19%
59.166.0.6,5544,149.171.126.4,22,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.7,46719,149.171.126.4,53,17,160,192,2,2,3,11,Normal,4.28%
59.166.0.7,4567,149.171.126.4,80,6,272,140,4,2,4,11,Normal,0.03%
59.166.0.3,4192,149.171.126.9,53,17,160,192,2,2,4,10,Normal,0.78%
59.166.0.3,6051,149.171.126.8,80,6,272,140,4,2,2,11,Normal,0.04%
59.166.0.9,5685,149.171.126.6,53,17,174,206,2,2,4,8,Normal,0.76%
59.166.0.9,45285,149.171.126.1,25,6,272,140,4,2,2,13,Normal,0.02%
59.166.0.7,6438,149.171.126.8,53,17,160,192,2,2,4,11,Normal,2.13%
59.166.0.7,8200,149.171.126.4,80,6,272,140,4,2,4,11,Normal,0.03%
59.166.0.3,44759,149.171.126.1,53,17,160,192,2,2,6,13,Normal,25.30%
59.166.0.3,10741,149.171.126.8,80,6,272,140,4,2,2,11,Normal,0.04%
59.166.0.0,9897,149.171.126.8,53,17,160,192,2,2,4,11,Normal,2.13%
59.166.0.0,11654,149.171.126.5,80,6,272,140,4,2,2,11,Normal,0.04%
59.166.0.4,38902,149.171.126.7,53,17,160,192,2,2,5,11,Normal,1.39%
59.166.0.4,40460,149.171.126.1,80,6,272,140,4,2,1,13,Normal,0.04%
175.45.176.2,13792,149.171.126.16,5555,6,8364,352,14,6,1,3,Attack,88.17%
59.166.0.4,35578,149.171.126.8,53,17,174,206,2,2,4,11,Normal,2.15%
59.166.0.4,15925,149.171.126.8,25,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.7,36998,149.171.126.6,53,17,261,309,3,3,4,8,Normal,0.66%
59.166.0.7,17249,149.171.126.2,80,6,272,140,4,2,3,11,Normal,0.03%
59.166.0.7,59053,149.171.126.4,5190,6,404,140,6,2,1,11,Normal,2.42%
59.166.0.8,1416,149.171.126.0,53,17,174,206,2,2,4,14,Normal,16.51%
59.166.0.8,21612,149.171.126.0,80,6,272,140,4,2,6,14,Normal,0.01%
59.166.0.0,21702,149.171.126.0,61361,6,404,140,6,2,1,14,Normal,0.72%
59.166.0.4,22873,149.171.126.5,5190,6,404,140,6,2,2,11,Normal,0.43%
59.166.0.6,60756,149.171.126.2,53,17,158,190,2,2,2,11,Normal,3.65%
59.166.0.6,54406,149.171.126.8,21,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.4,26778,149.171.126.6,53,17,261,206,3,2,4,8,Normal,0.68%
59.166.0.4,28756,149.171.126.1,25,6,272,140,4,2,2,13,Normal,0.02%
59.166.0.3,54634,149.171.126.3,53,17,160,192,2,2,1,11,Normal,2.81%
59.166.0.3,58220,149.171.126.4,80,6,272,140,4,2,4,11,Normal,0.03%
59.166.0.2,58304,149.171.126.4,53,17,160,192,2,2,3,11,Normal,4.28%
59.166.0.2,30266,149.171.126.3,80,6,272,140,4,2,3,11,Normal,0.03%
175.45.176.2,26939,149.171.126.10,80,6,984,352,10,6,1,1,Attack,91.95%
59.166.0.1,52335,149.171.126.9,53,17,160,192,2,2,4,10,Normal,0.78%
59.166.0.1,1736,149.171.126.2,80,6,272,140,4,2,3,11,Normal,0.03%
59.166.0.2,47526,149.171.126.5,53,17,174,206,2,2,5,11,Normal,1.39%
59.166.0.2,49350,149.171.126.2,80,6,272,140,4,2,3,11,Normal,0.03%
59.166.0.2,12527,149.171.126.1,23202,17,584,360,4,4,1,13,Normal,1.79%
59.166.0.2,39558,149.171.126.1,111,17,936,368,6,4,1,13,Normal,1.78%
59.166.0.2,14075,149.171.126.1,39991,6,272,140,4,2,1,13,Normal,0.04%
59.166.0.0,3507,149.171.126.3,22,6,474,140,7,2,1,11,Normal,9.41%
59.166.0.8,7419,149.171.126.1,53,17,160,192,2,2,6,13,Normal,25.30%
59.166.0.8,38983,149.171.126.0,80,6,272,140,4,2,6,14,Normal,0.01%
59.166.0.4,8987,149.171.126.9,13883,6,404,140,6,2,1,10,Normal,3.61%
59.166.0.6,10510,149.171.126.5,53,17,237,190,3,2,5,11,Normal,1.01%
59.166.0.6,39954,149.171.126.4,143,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.1,11836,149.171.126.5,5190,6,474,140,7,2,2,11,Normal,1.43%
59.166.0.5,13903,149.171.126.7,53,17,240,192,3,2,5,11,Normal,1.01%
59.166.0.5,15794,149.171.126.6,80,6,272,140,4,2,2,8,Normal,0.12%
59.166.0.1,16931,149.171.126.3,38340,17,584,360,4,4,1,11,Normal,2.10%
59.166.0.1,15133,149.171.126.3,111,17,1092,368,7,4,1,11,Normal,0.13%
59.166.0.1,64239,149.171.126.3,36191,6,272,140,4,2,1,11,Normal,0.09%
175.45.176.0,39500,149.171.126.15,80,6,1354,352,10,6,2,2,Attack,62.50%
59.166.0.9,37442,149.171.126.5,64070,6,474,140,7,2,1,11,Normal,9.41%
59.166.0.1,64150,149.171.126.6,17453,6,474,210,7,3,1,8,Normal,26.76%
175.45.176.0,23910,149.171.126.15,80,6,2278,352,14,6,2,2,Attack,72.55%
59.166.0.5,61007,149.171.126.3,63324,6,404,140,6,2,1,11,Normal,2.42%
59.166.0.2,58771,149.171.126.8,53,17,160,192,2,2,4,11,Normal,2.13%
59.166.0.2,24697,149.171.126.7,80,6,272,140,4,2,2,11,Normal,0.04%
59.166.0.1,24551,149.171.126.5,53,17,160,192,2,2,5,11,Normal,1.39%
59.166.0.1,26232,149.171.126.4,80,6,272,140,4,2,4,11,Normal,0.03%
59.166.0.6,25689,149.171.126.4,53,17,240,192,3,2,3,11,Normal,1.04%
59.166.0.6,27412,149.171.126.9,80,6,272,140,4,2,2,10,Normal,0.06%
59.166.0.1,29622,149.171.126.8,111,17,780,368,5,4,1,11,Normal,0.82%
59.166.0.1,31564,149.171.126.8,55173,17,584,360,4,4,1,11,Normal,2.10%
59.166.0.1,52493,149.171.126.8,31379,6,404,140,6,2,1,11,Normal,2.42%
59.166.0.5,56644,149.171.126.2,111,17,624,360,4,4,1,11,Normal,2.14%
59.166.0.5,30507,149.171.126.2,32859,17,576,360,4,4,1,11,Normal,2.09%
59.166.0.5,51022,149.171.126.2,30318,6,474,210,7,3,1,11,Normal,9.08%
59.166.0.6,30853,149.171.126.1,22,6,404,140,6,2,1,13,Normal,1.08%
59.166.0.2,32716,149.171.126.7,53,17,240,192,3,2,5,11,Normal,1.01%
59.166.0.2,1643,149.171.126.5,80,6,272,140,4,2,2,11,Normal,0.04%
175.45.176.0,29309,149.171.126.14,3000,6,984,352,10,6,1,1,Attack,91.95%
59.166.0.8,47061,149.171.126.1,53,17,174,206,2,2,6,13,Normal,25.27%
59.166.0.8,4936,149.171.126.2,25,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.5,49910,149.171.126.5,53,17,158,190,2,2,5,11,Normal,1.39%
59.166.0.5,43388,149.171.126.6,21,6,272,140,4,2,1,8,Normal,0.30%
59.166.0.9,41515,149.171.126.5,53,17,158,190,2,2,5,11,Normal,1.39%
59.166.0.9,14906,149.171.126.4,21,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.8,44119,149.171.126.2,53,17,158,190,2,2,2,11,Normal,3.65%
59.166.0.8,9989,149.171.126.0,21,6,272,140,4,2,1,14,Normal,0.03%
59.166.0.0,38981,149.171.126.9,50862,6,404,140,6,2,1,10,Normal,3.61%
59.166.0.3,40309,149.171.126.1,53,17,240,192,3,2,6,13,Normal,16.04%
59.166.0.3,14306,149.171.126.7,80,6,272,140,4,2,2,11,Normal,0.04%
59.166.0.4,40650,149.171.126.7,38455,6,474,140,7,2,1,11,Normal,9.41%
59.166.0.1,13846,149.171.126.0,5190,6,404,140,6,2,1,14,Normal,0.72%
59.166.0.6,15807,149.171.126.7,53,17,240,192,3,2,5,11,Normal,1.01%
59.166.0.6,17431,149.171.126.6,80,6,272,140,4,2,2,8,Normal,0.12%
59.166.0.2,62824,149.171.126.7,14455,17,576,360,4,4,1,11,Normal,2.09%
59.166.0.2,36701,149.171.126.7,111,17,1092,360,7,4,1,11,Normal,0.13%
59.166.0.2,1336,149.171.126.7,18601,6,272,140,4,2,1,11,Normal,0.09%
59.166.0.2,19393,149.171.126.0,53,17,240,192,3,2,4,14,Normal,13.51%
175.45.176.0,61089,149.171.126.18,80,6,944,1060,10,8,2,2,Attack,66.32%
59.166.0.2,21003,149.171.126.9,80,6,272,140,4,2,2,10,Normal,0.06%
59.166.0.8,61715,149.171.126.3,1173,6,404,140,6,2,1,11,Normal,2.42%
59.166.0.6,57983,149.171.126.0,53,17,160,192,2,2,4,14,Normal,16.53%
59.166.0.6,50778,149.171.126.0,80,6,272,140,4,2,6,14,Normal,0.01%
175.45.176.0,4159,149.171.126.18,80,6,1040,1188,11,11,2,2,Attack,63.84%
59.166.0.1,28172,149.171.126.2,5190,6,404,140,6,2,2,11,Normal,0.43%
59.166.0.1,26719,149.171.126.0,53,17,174,206,2,2,4,14,Normal,16.51%
59.166.0.1,28468,149.171.126.3,80,6,272,140,4,2,3,11,Normal,0.03%
59.166.0.7,57137,149.171.126.7,53,17,240,192,3,2,5,11,Normal,1.01%
59.166.0.7,50602,149.171.126.0,80,6,272,140,4,2,6,14,Normal,0.01%
59.166.0.7,30731,149.171.126.0,25229,6,404,140,6,2,1,14,Normal,0.72%
59.166.0.2,53437,149.171.126.5,32103,6,474,140,7,2,1,11,Normal,9.41%
59.166.0.8,47629,149.171.126.3,33289,6,210,70,3,1,1,11,Normal,0.03%
10.40.85.1,0,10.40.85.30,0,-1,42,42,1,1,1,1,Normal,0.00%
