ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.7,10346,149.171.126.1,7804,6,2970,33516,45,30,1,5,Normal,0.00%
59.166.0.7,41714,149.171.126.8,39575,6,2838,14546,36,36,1,3,Normal,1.80%
59.166.0.2,41241,149.171.126.7,53,17,160,192,2,2,1,3,Normal,1.29%
59.166.0.2,13294,149.171.126.3,80,6,1144,962,8,10,1,7,Normal,8.91%
59.166.0.2,14354,149.171.126.3,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.2,16163,149.171.126.3,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.2,17067,149.171.126.3,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.2,17921,149.171.126.3,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.2,18785,149.171.126.3,6881,6,1764,1896,16,18,6,7,Normal,0.23%
175.45.176.2,32029,149.171.126.16,5900,6,248,124,4,2,1,1,Normal,34.78%
59.166.0.5,13890,149.171.126.8,53,17,174,206,2,2,1,3,Normal,1.29%
59.166.0.5,15644,149.171.126.7,80,6,1002,9036,8,10,1,3,Attack,80.14%
175.45.176.2,13004,149.171.126.12,110,6,480,80471,8,60,1,1,Attack,100.00%
175.45.176.2,17791,149.171.126.11,548,6,4330,234,10,4,1,1,Attack,90.97%
59.166.0.7,11032,149.171.126.2,22,6,3076,3180,34,34,1,7,Normal,14.72%
59.166.0.5,54403,149.171.126.8,22,6,984,1040,12,8,1,3,Attack,92.36%
59.166.0.2,34686,149.171.126.3,6881,6,14946,507166,208,400,6,7,Normal,0.00%
59.166.0.7,37499,149.171.126.1,22,6,272,140,4,2,1,5,Normal,0.99%
59.166.0.5,21533,149.171.126.1,53,17,160,192,2,2,1,5,Normal,0.55%
59.166.0.5,24288,149.171.126.1,80,6,1156,962,8,10,1,5,Normal,17.94%
59.166.0.5,25381,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,27156,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,28037,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,56540,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.5,51489,149.171.126.2,6881,6,1764,1896,16,18,6,7,Normal,0.23%
59.166.0.4,20043,149.171.126.1,11830,6,4702,52238,64,66,1,5,Normal,0.00%
59.166.0.4,28690,149.171.126.9,22,6,2812,2804,30,30,1,1,Attack,96.97%
59.166.0.4,21662,149.171.126.7,19672,6,2706,14414,34,34,1,3,Normal,3.18%
59.166.0.5,26249,149.171.126.2,6881,6,8670,277844,116,224,6,7,Normal,0.00%
149.171.126.3,6881,59.166.0.1,12107,6,27226,1090,26,16,1,1,Attack,67.55%
149.171.126.7,22,59.166.0.9,15093,6,692,132,2,2,1,1,Normal,1.41%
149.171.126.17,25,175.45.176.3,5314,6,618,276,6,4,1,1,Attack,71.36%
175.45.176.1,1484,149.171.126.17,179,6,240,240,4,4,1,1,Normal,25.65%
