ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
149.171.126.3,6881,59.166.0.2,46340,6,59203,2593,42,38,1,2,Normal,0.00%
59.166.0.7,23749,149.171.126.7,59904,6,512,1230,4,11,1,1,Normal,11.24%
59.166.0.4,35773,149.171.126.8,12841,6,512,1256,4,8,1,1,Normal,13.88%
149.171.126.0,80,59.166.0.9,43778,6,15140,594,10,9,1,1,Normal,0.02%
59.166.0.9,43355,149.171.126.9,53345,6,5098,57834,70,72,1,2,Normal,0.00%
175.45.176.1,16211,149.171.126.17,179,6,828,238,9,4,1,1,Attack,93.17%
59.166.0.9,43004,149.171.126.0,5067,6,2706,14546,34,36,1,3,Normal,4.25%
149.171.126.13,25,175.45.176.0,52346,6,664,18160,7,19,1,1,Attack,93.14%
149.171.126.6,5190,59.166.0.7,42208,6,4648,2228,24,22,1,2,Attack,95.24%
59.166.0.9,8021,149.171.126.3,42814,6,4702,52370,64,68,1,1,Normal,0.00%
59.166.0.9,9493,149.171.126.5,7556,6,2706,14546,34,36,1,1,Normal,31.06%
149.171.126.8,5190,59.166.0.0,39096,6,2560,1232,14,12,1,1,Attack,90.19%
59.166.0.7,24905,149.171.126.6,80,6,746,1384,4,8,1,2,Normal,1.00%
149.171.126.1,35626,59.166.0.2,15277,6,1256,3168,8,10,1,2,Attack,62.54%
59.166.0.1,59485,149.171.126.6,1815,6,132,468,2,2,1,2,Normal,0.23%
59.166.0.7,11911,149.171.126.4,53,17,174,206,2,2,1,1,Normal,21.32%
149.171.126.8,25,59.166.0.7,35296,6,3968,38212,42,52,1,2,Normal,0.79%
59.166.0.1,26800,149.171.126.0,111,17,312,188,2,2,1,3,Normal,1.30%
59.166.0.2,12832,149.171.126.1,53,17,174,206,2,2,1,2,Normal,3.97%
59.166.0.2,14473,149.171.126.1,80,6,1134,9036,10,10,1,2,Attack,95.18%
59.166.0.1,28931,149.171.126.9,80,6,746,1384,4,8,1,2,Normal,1.00%
59.166.0.1,29284,149.171.126.0,57724,6,580,272,6,4,1,3,Normal,19.62%
149.171.126.7,22,59.166.0.4,34254,6,5158,3324,18,22,1,1,Normal,12.71%
