ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.6,47925,149.171.126.1,3071,6,404,140,6,2,1,8,Normal,7.87%
59.166.0.9,4864,149.171.126.7,53,17,174,206,2,2,1,4,Normal,0.81%
59.166.0.9,42405,149.171.126.1,80,6,272,140,4,2,1,8,Normal,0.30%
175.45.176.3,44762,149.171.126.12,80,6,1030,4206,11,11,1,1,Attack,90.58%
59.166.0.6,6379,149.171.126.6,53,17,174,206,2,2,2,4,Normal,0.88%
59.166.0.6,8196,149.171.126.6,25,6,272,140,4,2,1,4,Normal,1.43%
59.166.0.7,34944,149.171.126.0,53,17,160,192,2,2,6,8,Normal,1.79%
59.166.0.7,16315,149.171.126.3,80,6,272,140,4,2,1,5,Normal,0.99%
59.166.0.5,13987,149.171.126.0,53,17,158,190,2,2,6,8,Normal,1.79%
59.166.0.5,15833,149.171.126.8,143,6,272,140,4,2,1,7,Normal,0.45%
59.166.0.3,40146,149.171.126.4,53,17,160,192,2,2,3,4,Normal,1.14%
59.166.0.3,35730,149.171.126.8,80,6,272,140,4,2,2,7,Normal,0.18%
59.166.0.1,35110,149.171.126.3,53,17,160,192,2,2,3,5,Normal,1.05%
59.166.0.1,34663,149.171.126.5,80,6,272,140,4,2,2,6,Normal,0.27%
59.166.0.8,37848,149.171.126.8,53,17,160,192,2,2,2,7,Normal,0.49%
59.166.0.8,18211,149.171.126.8,80,6,272,140,4,2,2,7,Normal,0.18%
59.166.0.6,16859,149.171.126.1,53,17,160,192,2,2,2,8,Normal,0.42%
59.166.0.6,62669,149.171.126.2,80,6,272,140,4,2,4,7,Normal,0.15%
59.166.0.8,62676,149.171.126.3,53,17,240,192,3,2,3,5,Normal,0.90%
59.166.0.8,64516,149.171.126.2,80,6,272,140,4,2,4,7,Normal,0.15%
59.166.0.3,1809,149.171.126.0,53,17,160,192,2,2,6,8,Normal,1.79%
59.166.0.3,21777,149.171.126.2,80,6,272,140,4,2,4,7,Normal,0.15%
59.166.0.4,61452,149.171.126.0,53,17,261,206,3,2,6,8,Normal,1.32%
59.166.0.4,61278,149.171.126.0,80,6,272,140,4,2,2,8,Normal,0.12%
59.166.0.5,62349,149.171.126.5,49279,6,404,140,6,2,1,6,Normal,16.31%
175.45.176.2,43850,149.171.126.13,80,6,1016,9642,10,14,1,1,Attack,92.60%
59.166.0.7,32612,149.171.126.6,22,6,474,140,7,2,1,4,Attack,69.08%
59.166.0.1,28799,149.171.126.9,5190,6,404,140,6,2,2,5,Normal,4.29%
59.166.0.9,30521,149.171.126.6,53,17,174,206,2,2,2,4,Normal,0.88%
59.166.0.9,32265,149.171.126.5,80,6,272,140,4,2,2,6,Normal,0.27%
59.166.0.8,53247,149.171.126.7,25790,17,576,360,4,4,1,4,Normal,0.95%
59.166.0.8,53697,149.171.126.7,111,17,1092,360,7,4,1,4,Normal,1.19%
59.166.0.8,46196,149.171.126.7,33581,6,272,140,4,2,1,4,Normal,1.43%
59.166.0.7,1440,149.171.126.9,5190,6,404,140,6,2,2,5,Normal,4.29%
59.166.0.3,2861,149.171.126.2,48061,6,474,210,7,3,1,7,Normal,36.28%
59.166.0.6,4318,149.171.126.5,53,17,261,206,3,2,1,6,Normal,0.41%
59.166.0.6,6166,149.171.126.5,25,6,272,140,4,2,1,6,Normal,0.67%
59.166.0.6,45430,149.171.126.1,53,17,237,190,3,2,2,8,Normal,0.39%
59.166.0.6,39198,149.171.126.5,143,6,272,140,4,2,1,6,Normal,0.67%
59.166.0.2,39128,149.171.126.1,48372,17,576,360,4,4,1,8,Normal,0.26%
59.166.0.2,45898,149.171.126.1,111,17,936,360,6,4,1,8,Normal,0.22%
59.166.0.2,10511,149.171.126.1,9243,6,272,140,4,2,1,8,Normal,0.30%
59.166.0.6,39510,149.171.126.4,5190,6,404,140,6,2,1,4,Normal,31.49%
59.166.0.4,17491,149.171.126.0,53,17,160,192,2,2,6,8,Normal,1.79%
59.166.0.4,1822,149.171.126.0,80,6,272,140,4,2,2,8,Normal,0.12%
59.166.0.9,14309,149.171.126.3,53,17,174,206,2,2,3,5,Normal,1.05%
59.166.0.9,16096,149.171.126.8,25,6,272,140,4,2,1,7,Normal,0.45%
59.166.0.2,37437,149.171.126.4,53,17,158,190,2,2,3,4,Normal,1.14%
59.166.0.2,17787,149.171.126.2,143,6,272,140,4,2,1,7,Normal,0.45%
59.166.0.2,15538,149.171.126.8,5190,6,404,140,6,2,1,7,Normal,11.43%
59.166.0.7,19947,149.171.126.0,53,17,158,190,2,2,6,8,Normal,1.79%
59.166.0.7,21797,149.171.126.1,143,6,272,140,4,2,1,8,Normal,0.30%
59.166.0.7,1929,149.171.126.4,53,17,160,192,2,2,3,4,Normal,1.14%
59.166.0.7,59949,149.171.126.2,80,6,272,140,4,2,4,7,Normal,0.15%
59.166.0.4,59256,149.171.126.8,53,17,158,190,2,2,2,7,Normal,0.49%
59.166.0.4,60847,149.171.126.3,21,6,272,140,4,2,1,5,Normal,0.99%
59.166.0.7,26360,149.171.126.9,10351,17,584,360,4,4,1,5,Normal,0.62%
59.166.0.7,60615,149.171.126.9,111,17,936,368,6,4,1,5,Normal,0.72%
