ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
149.171.126.9,53,59.166.0.8,15887,17,192,160,2,2,1,4,Normal,0.82%
149.171.126.4,80,59.166.0.8,17624,6,962,1156,10,8,1,4,Attack,85.55%
149.171.126.0,6881,59.166.0.8,1087,6,547550,14369,429,199,1,4,Attack,100.00%
59.166.0.8,21407,149.171.126.0,6881,6,1835,1896,17,18,4,4,Normal,3.36%
59.166.0.8,22526,149.171.126.0,6881,6,1764,2846,16,24,4,4,Normal,0.63%
59.166.0.8,23437,149.171.126.0,6881,6,1830,1896,17,18,4,4,Normal,3.38%
59.166.0.8,62685,149.171.126.0,6881,6,1830,1962,17,19,4,4,Normal,1.06%
149.171.126.0,6881,59.166.0.8,20515,6,1896,1764,18,16,1,4,Attack,83.51%
175.45.176.2,16151,149.171.126.12,25,6,21316,174,16,3,1,1,Normal,37.38%
59.166.0.7,17736,149.171.126.6,22,6,4176,5810,32,24,1,1,Attack,71.03%
149.171.126.13,445,175.45.176.3,5889,6,120,508,2,4,1,2,Normal,0.17%
59.166.0.3,18189,149.171.126.8,39707,6,3250,23980,42,39,1,1,Normal,1.04%
175.45.176.1,31825,149.171.126.14,445,6,186,124,3,2,1,1,Normal,10.09%
149.171.126.4,5190,59.166.0.2,13435,6,7424,2663,24,33,1,1,Normal,14.05%
59.166.0.9,56979,149.171.126.2,80,6,746,1384,4,8,1,1,Normal,11.07%
149.171.126.18,445,175.45.176.1,1136,6,516,546,2,3,1,1,Normal,1.53%
149.171.126.1,80,59.166.0.1,13785,6,21196,528,14,8,1,1,Normal,0.11%
149.171.126.10,80,175.45.176.3,48162,6,9842,240,11,4,1,2,Normal,6.00%
