ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.4,4269,149.171.126.3,143,6,2320,3438,30,28,1,2,Attack,89.78%
59.166.0.4,11349,149.171.126.5,22,6,3312,4238,36,41,1,1,Attack,51.48%
59.166.0.7,45876,149.171.126.0,21,6,574,900,8,10,1,2,Attack,71.57%
59.166.0.7,38505,149.171.126.0,41036,6,6328,272,8,4,1,2,Normal,2.08%
59.166.0.0,34827,149.171.126.3,5190,6,2360,4780,24,26,1,2,Attack,94.34%
175.45.176.1,56919,149.171.126.12,25,6,18924,120,14,2,1,1,Normal,27.53%
59.166.0.4,34558,149.171.126.2,11748,6,4834,52238,66,66,1,1,Normal,0.00%
59.166.0.4,16562,149.171.126.9,14644,6,1722,1680,20,18,1,1,Attack,94.95%
149.171.126.17,80,175.45.176.0,41569,6,120,120,2,2,1,2,Normal,0.22%
149.171.126.19,80,175.45.176.0,51429,6,124,124,2,2,1,2,Normal,0.22%
149.171.126.17,110,175.45.176.3,62067,6,34064,120,24,2,1,1,Attack,67.57%
59.166.0.2,15305,149.171.126.4,6881,6,12884,507048,188,387,1,1,Normal,0.00%
175.45.176.2,23851,149.171.126.13,110,6,150,140,2,2,1,1,Normal,2.44%
