ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
149.171.126.9,56580,59.166.0.6,50577,6,10176,2170,29,28,1,3,Normal,35.48%
149.171.126.13,110,175.45.176.2,23851,6,56951,240,42,4,1,1,Attack,67.57%
149.171.126.6,22,59.166.0.9,62370,6,4696,1480,12,12,1,1,Attack,80.83%
149.171.126.17,110,175.45.176.3,62067,6,40615,240,31,4,1,1,Attack,67.57%
149.171.126.17,179,175.45.176.1,21690,6,120,294,2,5,1,2,Normal,0.16%
59.166.0.4,19033,149.171.126.1,143,6,2518,3716,31,31,2,5,Normal,1.36%
59.166.0.1,54088,149.171.126.1,50396,6,4966,57834,68,72,1,5,Normal,0.00%
59.166.0.9,32913,149.171.126.1,143,6,2012,3106,28,26,2,5,Normal,23.19%
59.166.0.1,1288,149.171.126.7,53706,6,2706,14546,34,36,1,1,Normal,31.06%
149.171.126.12,25,175.45.176.1,56919,6,354,37206,6,28,1,2,Attack,99.94%
59.166.0.1,21934,149.171.126.8,143,6,1699,2869,23,25,1,1,Attack,98.12%
59.166.0.2,47254,149.171.126.9,47188,6,4966,55036,68,69,1,2,Normal,0.00%
175.45.176.1,65489,149.171.126.11,445,6,656,240,6,4,1,1,Attack,70.35%
149.171.126.4,22,59.166.0.2,49217,6,5532,3406,17,19,1,1,Attack,67.94%
59.166.0.2,46679,149.171.126.1,53005,6,2706,14546,34,36,1,5,Normal,0.39%
59.166.0.6,48320,149.171.126.1,22,6,2050,446,11,6,1,5,Attack,88.86%
59.166.0.3,5953,149.171.126.5,5190,6,2228,4648,22,24,1,2,Attack,93.60%
149.171.126.9,46483,59.166.0.6,12894,17,360,584,4,4,1,3,Normal,1.64%
149.171.126.9,111,59.166.0.6,38418,17,376,624,4,4,1,3,Normal,1.64%
59.166.0.6,14158,149.171.126.9,40355,6,1604,824,14,8,1,2,Attack,91.64%
149.171.126.9,80,59.166.0.1,56781,6,1384,746,8,4,1,1,Attack,92.89%
149.171.126.5,22,59.166.0.4,11349,6,2733,1330,22,17,1,1,Attack,93.47%
59.166.0.9,31196,149.171.126.5,53,17,158,190,2,2,1,2,Normal,3.97%
