ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.6,50577,149.171.126.9,56580,6,2434,30518,32,74,1,7,Normal,0.76%
59.166.0.9,31196,149.171.126.5,53,17,158,190,2,2,2,4,Normal,0.87%
59.166.0.1,54088,149.171.126.1,50396,6,4702,52238,64,66,1,5,Normal,0.00%
59.166.0.1,1288,149.171.126.7,53706,6,2706,14546,34,36,1,6,Normal,1.15%
59.166.0.2,47254,149.171.126.9,47188,6,4702,52238,64,66,1,7,Normal,0.00%
59.166.0.2,46679,149.171.126.1,53005,6,2706,14546,34,36,1,5,Normal,0.39%
59.166.0.9,62370,149.171.126.6,22,6,1792,3000,16,12,1,2,Attack,90.70%
59.166.0.3,5953,149.171.126.5,5190,6,2228,4648,22,24,1,4,Attack,71.84%
59.166.0.6,48320,149.171.126.1,22,6,4176,5810,32,24,1,5,Normal,12.16%
59.166.0.6,12894,149.171.126.9,46483,17,584,360,4,4,1,7,Normal,0.31%
59.166.0.6,38418,149.171.126.9,111,17,624,376,4,4,1,7,Normal,0.31%
59.166.0.1,56781,149.171.126.9,80,6,746,1384,4,8,2,7,Normal,0.08%
59.166.0.9,32913,149.171.126.1,143,6,2020,8018,28,78,2,5,Normal,0.32%
59.166.0.2,49217,149.171.126.4,22,6,3904,5670,28,22,1,3,Attack,76.63%
59.166.0.1,21934,149.171.126.8,143,6,4972,9932,60,62,1,2,Normal,0.01%
59.166.0.6,14158,149.171.126.9,40355,6,5168,3368,28,28,1,7,Attack,62.41%
59.166.0.4,19033,149.171.126.1,143,6,2012,4730,24,42,2,5,Normal,1.13%
175.45.176.2,23851,149.171.126.13,110,6,696,136578,12,102,1,2,Attack,100.00%
59.166.0.6,44714,149.171.126.8,5190,6,1232,2428,12,12,1,2,Attack,85.03%
59.166.0.4,38479,149.171.126.0,53,17,174,206,2,2,1,7,Normal,0.39%
175.45.176.1,56919,149.171.126.12,25,6,113770,1038,82,18,1,1,Attack,67.57%
59.166.0.4,40174,149.171.126.9,80,6,1002,9036,8,10,2,7,Normal,4.97%
175.45.176.1,1133,149.171.126.11,445,6,248,124,4,2,2,2,Normal,1.38%
59.166.0.6,13867,149.171.126.2,53,17,158,190,2,2,1,1,Normal,21.30%
59.166.0.6,16504,149.171.126.3,4360,6,404,2068,6,8,1,6,Normal,2.24%
59.166.0.6,36804,149.171.126.3,29419,6,536,8992,8,12,1,6,Normal,41.02%
59.166.0.6,64341,149.171.126.3,32948,6,9124,404,14,6,1,6,Normal,37.09%
59.166.0.6,15544,149.171.126.3,21,6,3662,4496,52,54,1,6,Normal,0.00%
59.166.0.2,51741,149.171.126.4,80,6,746,1384,4,8,1,3,Normal,0.42%
59.166.0.6,15862,149.171.126.7,13992,17,576,360,4,4,1,6,Normal,0.40%
59.166.0.6,14319,149.171.126.7,111,17,624,360,4,4,1,6,Normal,0.41%
59.166.0.2,16149,149.171.126.5,53,17,174,206,2,2,2,4,Normal,0.88%
59.166.0.2,17766,149.171.126.3,80,6,1002,9036,8,10,1,6,Normal,44.46%
59.166.0.6,18322,149.171.126.3,111,17,312,180,2,2,1,6,Normal,0.44%
59.166.0.1,19088,149.171.126.4,53,17,174,206,2,2,1,3,Normal,1.29%
59.166.0.1,64822,149.171.126.7,80,6,1002,9036,8,10,2,6,Normal,6.69%
175.45.176.2,61532,149.171.126.13,25,6,248,124,4,2,1,2,Normal,7.04%
59.166.0.6,36412,149.171.126.7,15678,6,4468,2944,26,24,1,6,Attack,67.95%
59.166.0.0,22234,149.171.126.6,53,17,160,192,2,2,1,2,Normal,3.97%
59.166.0.0,23956,149.171.126.7,80,6,1156,962,8,10,2,6,Normal,11.48%
59.166.0.0,60930,149.171.126.0,6881,6,1500,1490,12,12,6,7,Normal,49.08%
59.166.0.0,55923,149.171.126.0,6881,6,1500,1490,12,12,6,7,Normal,49.08%
59.166.0.0,54792,149.171.126.0,6881,6,1500,1490,12,12,6,7,Normal,49.08%
59.166.0.0,28097,149.171.126.0,6881,6,1500,672,12,8,6,7,Attack,56.20%
59.166.0.0,29051,149.171.126.0,6881,6,1500,672,12,8,6,7,Attack,56.20%
59.166.0.0,51588,149.171.126.0,6881,6,1500,672,12,8,6,7,Attack,56.20%
149.171.126.17,179,175.45.176.1,21690,6,348,240,6,4,1,1,Attack,77.03%
175.45.176.3,62067,149.171.126.17,110,6,918,142654,16,106,1,1,Attack,100.00%
59.166.0.4,11349,149.171.126.5,22,6,1264,5026,16,44,1,4,Normal,0.53%
175.45.176.1,65489,149.171.126.11,445,6,656,240,6,4,2,2,Normal,10.15%
