ipv4_src,port_src,ipv4_dst,port_dst,proto,bytes_src,bytes_dst,packets_src,packets_dst,srv_dst_count,dst_count,category,probability
59.166.0.2,8374,149.171.126.5,6881,6,3172,108490,46,88,1,1,Attack,94.34%
59.166.0.2,49217,149.171.126.4,22,6,272,140,4,2,2,6,Normal,0.27%
59.166.0.6,4920,149.171.126.4,28153,6,4966,61248,68,70,1,6,Normal,0.00%
59.166.0.6,42358,149.171.126.6,4498,6,5230,64438,72,74,1,1,Normal,0.00%
59.166.0.8,6533,149.171.126.2,53,17,160,192,2,2,1,7,Normal,0.39%
59.166.0.8,46016,149.171.126.4,80,6,1144,962,8,10,1,6,Normal,12.65%
59.166.0.8,39816,149.171.126.2,6881,6,272,140,4,2,6,7,Normal,0.14%
59.166.0.8,10998,149.171.126.2,6881,6,272,140,4,2,6,7,Normal,0.14%
59.166.0.8,41575,149.171.126.2,6881,6,272,140,4,2,6,7,Normal,0.14%
59.166.0.8,40409,149.171.126.2,6881,6,272,140,4,2,6,7,Normal,0.14%
59.166.0.8,35104,149.171.126.2,6881,6,272,140,4,2,6,7,Normal,0.14%
59.166.0.8,9255,149.171.126.2,6881,6,272,140,4,2,6,7,Normal,0.14%
59.166.0.6,32494,149.171.126.4,22,6,1302,4712,11,12,2,6,Normal,39.10%
149.171.126.4,6881,59.166.0.7,46887,6,1624,1224,14,10,1,4,Attack,86.81%
149.171.126.4,6881,59.166.0.7,49893,6,1756,1224,16,10,1,4,Attack,87.61%
175.45.176.1,56919,149.171.126.12,25,6,37844,354,28,6,1,1,Attack,67.57%
149.171.126.4,6881,59.166.0.7,4640,6,1756,1224,16,10,1,4,Attack,87.61%
149.171.126.4,6881,59.166.0.7,43388,6,1756,1224,16,10,1,4,Attack,87.61%
175.45.176.2,62545,149.171.126.13,179,6,120,120,2,2,1,1,Normal,2.52%
59.166.0.7,1186,149.171.126.4,6881,6,1224,1356,10,12,2,6,Normal,38.85%
175.45.176.3,62067,149.171.126.17,110,6,354,31036,6,22,1,1,Attack,99.86%
149.171.126.11,445,175.45.176.1,22473,6,482,416,2,2,1,1,Normal,1.70%
59.166.0.7,46083,149.171.126.4,6881,6,6840,208152,92,164,2,6,Normal,0.00%
149.171.126.5,22,59.166.0.4,11349,6,1836,1604,18,18,1,1,Attack,95.83%
