0.001055,132,164,31,29,2,2,7,0
0.036133,528,304,31,29,4,4,4,0
0.001119,146,178,31,29,2,2,8,0
0.001209,132,164,31,29,2,2,9,0
0.001169,146,178,31,29,2,2,9,0
0.078339,568,312,31,29,4,4,4,0
0.001134,132,164,31,29,2,2,7,0
0,46,0,0,0,1,0,2,0
0.001126,146,178,31,29,2,2,7,0
0.001167,132,164,31,29,2,2,7,0
0,46,0,0,0,1,0,2,0
0,46,0,0,0,1,0,2,0
0,46,0,0,0,1,0,2,0
0.001093,132,164,31,29,2,2,9,0
0.001851,528,304,31,29,4,4,4,0
0.001749,528,304,31,29,4,4,2,0
0.001128,132,164,31,29,2,2,7,0
0.005153,568,312,31,29,4,4,4,0
0.004898,568,312,31,29,4,4,2,0
0.001111,132,164,31,29,2,2,9,0
0.000021,728,0,254,0,2,0,1,1
0.240139,918,25552,62,252,12,24,2,1
2.39039,1362,268,254,252,14,6,2,1
0.001101,132,164,31,29,2,2,4,0
0.001082,132,164,31,29,2,2,6,0
0.001122,132,164,31,29,2,2,3,0
0.001141,146,178,31,29,2,2,7,0
0.001164,146,178,31,29,2,2,8,0
0.001127,132,164,31,29,2,2,4,0
0.001073,132,164,31,29,2,2,7,0
0.001196,146,178,31,29,2,2,4,0
0.001101,132,164,31,29,2,2,8,0
0.001058,146,178,31,29,2,2,7,0
0.0011,132,164,31,29,2,2,6,0
0.001126,146,178,31,29,2,2,9,0
0.001017,146,178,31,29,2,2,6,0
0.001094,132,164,31,29,2,2,8,0
0.001092,132,164,31,29,2,2,6,0
0.001082,132,164,31,29,2,2,8,0
0.17519,8168,268,254,252,14,6,1,1
0.1906,844,268,254,252,10,6,1,1
0.001089,132,164,31,29,2,2,7,0
0.001126,132,164,31,29,2,2,8,0
0.001859,528,304,31,29,4,4,3,0
0.001152,132,164,31,29,2,2,4,0
0.004996,568,312,31,29,4,4,3,0
0.001044,146,178,31,29,2,2,9,0
0.001089,132,164,31,29,2,2,4,0
0.001122,146,178,31,29,2,2,7,0
0.001201,130,162,31,29,2,2,3,0
0.001079,132,164,31,29,2,2,7,0
0.001864,528,304,31,29,4,4,2,0
0.0051,568,312,31,29,4,4,2,0
